Column1,Column2,Column3,
3PL,3rd Party Logistics,"""3PL"":""3rd Party Logistics"" ",0
5S,"Sort, Straighten, Shine, Standardize and Sustain ","""5S"":""Sort, Straighten, Shine, Standardize and Sustain "" ",
A2LA,American Association for Laboratory Accreditation,"""A2LA"":""American Association for Laboratory Accreditation"" ",
AA ,Arithmetical Average,"""AA "":""Arithmetical Average"" ",
AACE,American Association of Cost Engineers,"""AACE"":""American Association of Cost Engineers"" ",
AAMA,American Architectural Manufacturers Association,"""AAMA"":""American Architectural Manufacturers Association"" ",
AAP,Automated Accounts Payable,"""AAP"":""Automated Accounts Payable"" ",
AAP ,Automated Accounts Payable,"""AAP "":""Automated Accounts Payable"" ",
AB,Accreditation Body,"""AB"":""Accreditation Body"" ",
ACA,American Coatings Association,"""ACA"":""American Coatings Association"" ",
Accounting String,Accounting String,"""Accounting String"":""Accounting String"" ",
ACGIH,American Conference of Governmental Industrial Hygienists,"""ACGIH"":""American Conference of Governmental Industrial Hygienists"" ",
ACH,Automated Clearing House,"""ACH"":""Automated Clearing House"" ",
ACH; ACH Payment,Automated Clearing House,"""ACH; ACH Payment"":""Automated Clearing House"" ",
ACL,Access Control Layer ,"""ACL"":""Access Control Layer "" ",
ACLASS,ACLASS Accreditation Services,"""ACLASS"":""ACLASS Accreditation Services"" ",
ACM,Asbestos Containing Material,"""ACM"":""Asbestos Containing Material"" ",
ACSI,American Customer Satisfaction Index,"""ACSI"":""American Customer Satisfaction Index"" ",
ACT,Application Compatibility Toolkit,"""ACT"":""Application Compatibility Toolkit"" ",
Action,Action,"""Action"":""Action"" ",
ACW,After Call Work,"""ACW"":""After Call Work"" ",
AD,Active Directory,"""AD"":""Active Directory"" ",
ADAMS,Agencywide Documents Access and Management System,"""ADAMS"":""Agencywide Documents Access and Management System"" ",
ADF,Application Development Framework,"""ADF"":""Application Development Framework"" ",
ADI,Accurate Dispersions Inc.,"""ADI"":""Accurate Dispersions Inc."" ",
ADO,Area Director of Operations,"""ADO"":""Area Director of Operations"" ",
ADP,Automatic Data Processing,"""ADP"":""Automatic Data Processing"" ",
AE,Application Enabler (11.0),"""AE"":""Application Enabler (11.0)"" ",
AEC,Alkyd Emulsion Chemical,"""AEC"":""Alkyd Emulsion Chemical"" ",
AED,Automated External Defibrillator,"""AED"":""Automated External Defibrillator"" ",
AES,Automated Export System,"""AES"":""Automated Export System"" ",
AF,Approve to Fill,"""AF"":""Approve to Fill"" ",
AF,Automotive Finishes,"""AF"":""Automotive Finishes"" ",
AFD,Automotive Finishes Division,"""AFD"":""Automotive Finishes Division"" ",
AFSO,Assistant Facility Site Organizer,"""AFSO"":""Assistant Facility Site Organizer"" ",
AFWC,Away From Work Case,"""AFWC"":""Away From Work Case"" ",
AGD,American Gage Design Standards,"""AGD"":""American Gage Design Standards"" ",
AGP,Accelerated Graphics Port,"""AGP"":""Accelerated Graphics Port"" ",
AGV,Automated Guided Vehicle,"""AGV"":""Automated Guided Vehicle"" ",
AHT,Average Handle Time,"""AHT"":""Average Handle Time"" ",
AIA,Application Integration Architecture,"""AIA"":""Application Integration Architecture"" ",
AIAG,Automotive Industry Action Group,"""AIAG"":""Automotive Industry Action Group"" ",
Ajax,Asynchronous JavaScript and XML,"""Ajax"":""Asynchronous JavaScript and XML"" ",
AJAX,Asynchronous JavaScript and XML,"""AJAX"":""Asynchronous JavaScript and XML"" ",
ALM,Automation system,"""ALM"":""Automation system"" ",
AM,Audit Management,"""AM"":""Audit Management"" ",
AMS,Audit Management System,"""AMS"":""Audit Management System"" ",
AMS,After Market Services,"""AMS"":""After Market Services"" ",
ANI,Automated Numbering Identification,"""ANI"":""Automated Numbering Identification"" ",
ANOM,Analysis of Means,"""ANOM"":""Analysis of Means"" ",
ANOVA,Analysis of Variation,"""ANOVA"":""Analysis of Variation"" ",
ANOVA,Analysis of Variance,"""ANOVA"":""Analysis of Variance"" ",
ANSI,American National Standards Institute,"""ANSI"":""American National Standards Institute"" ",
AOM,Advanced Order Management,"""AOM"":""Advanced Order Management"" ",
